Name: Organic traffic to non-product pages
"Time period: Dec 4, 2025 - Jun 1, 2026"
URL,Clicks,Impressions,CTR,Purchases
e-mart.com.bd/,2640,31935,0.08266792,3
e-mart.com.bd/shop/,173,6152,0.02812094,1
e-mart.com.bd/product/skin1004-madagascar-centella-tone-brightening-capsule-ampoule-100ml/,102,22411,0.00455134,0
e-mart.com.bd/product/cerave-skin-renewing-night-cream-48g/,52,13857,0.00375262,0
e-mart.com.bd/product/bioderma-photoderm-m-sunscreen-cream-face-40ml/,30,359,0.08356546,0
e-mart.com.bd/shop,30,1724,0.01740139,0
e-mart.com.bd/product/the-ordinary-multi-peptide-hair-serum-for-hair-density-60ml/,29,10662,0.00271994,0
e-mart.com.bd/product/skin1004-madagascar-centella-light-cleansing-oil-30ml/,27,7867,0.00343206,0
e-mart.com.bd/product/medicube-deep-vita-c-capsule-cream-55ml/,22,3849,0.00571577,0
e-mart.com.bd/product/lador-perfect-hair-fill-up-ampoules-13ml/,20,1028,0.01945525,0
e-mart.com.bd/product/maybelline-fit-me-matteporeless-pressed-powder/,20,1076,0.01858736,0
e-mart.com.bd/2023/03/31/discover-the-best-japanese-moisturizers-for-bangladeshi-skin/,19,8003,0.00237411,0
e-mart.com.bd/product/dr-althea-vitamin-c-boosting-serum-30ml/,16,3861,0.004144,0
e-mart.com.bd/product/eucerin-dermocapillaire-soothing-urea-care-100ml/,16,133,0.12030075,0
e-mart.com.bd/product/daeng-gi-meo-ri-volume-shampoo-400-ml-2/,15,3233,0.00463965,0
e-mart.com.bd/product/gluta-c-face-and-neck-cream-with-kojic-plus-whitening-system-and-spf30/,15,2542,0.00590087,0
e-mart.com.bd/product/nivea-uv-super-water-gel-sunscreen-spf50-pa-140gm/,15,4330,0.0034642,0
e-mart.com.bd/product/ponds-super-light-gel-oil-free-moisturiser/,15,2198,0.00682439,0
e-mart.com.bd/product/innisfree-super-volcanic-pore-clay-mask-100ml/,13,2404,0.00540765,0
e-mart.com.bd/product/innisfree-intensive-triple-shield-sunscreen-spf50-pa-50ml/,11,2971,0.00370246,0
e-mart.com.bd/product/purito-defence-barrier-ph-cleanser-150ml/,11,233,0.0472103,0
e-mart.com.bd/product/anua-bha-2-gentle-exfoliating-toner-150ml/,10,758,0.01319261,0
e-mart.com.bd/product/beauty-of-joseon-sunscreen-rice-probiotics-spf-50-50ml/,10,5150,0.00194175,0
e-mart.com.bd/contact-us/,9,890,0.01011236,0
e-mart.com.bd/product-tag/e-mart-com-bd/,9,185,0.04864865,0
e-mart.com.bd/product/gluta-c-intense-whitening-facial-day-cream-with-spf-25-30ml/,9,553,0.01627486,0
e-mart.com.bd/product/nivea-luminous630-anti-dark-spot-night-cream-50ml/,9,486,0.01851852,0
e-mart.com.bd/product/skin-aqua-super-moisture-gel-gold-sunscreen-spf50-pa-110g-upgrade/,9,1157,0.00777874,0
e-mart.com.bd/product/tiam-vita-b3-source-serum-40ml/,9,2218,0.00405771,0
e-mart.com.bd/product/tirtir-milk-skin-toner-light-20ml/,9,269,0.03345725,0
e-mart.com.bd/shop/skin1004-madagascar-centella-tone-brightening-capsule-ampoule-100ml,9,3678,0.00244698,0
e-mart.com.bd/origins,8,365,0.02191781,0
e-mart.com.bd/product/by-wishtrend-mandelic-acid-5-skin-prep-water-120ml/,8,164,0.04878049,0
e-mart.com.bd/product/cosrx-lightweight-soothing-moisturizer-80ml/,8,310,0.02580645,0
e-mart.com.bd/product/gluta-c-body-lotion-with-kojic-plus-whitening-system-and-spf30-150ml/,8,655,0.01221374,0
e-mart.com.bd/product/mandom-lucido-ageing-care-milk-q10-for-men-100ml/,8,309,0.02588997,0
e-mart.com.bd/product/mandom-lucido-aging-care-lotion-q-10-anti-aging-lotion-for-men-110ml/,8,59,0.13559322,0
e-mart.com.bd/product/the-ordinary-retinol-0-5-in-squalane-30ml/,8,9041,0.00088486,0
e-mart.com.bd/product-tag/gluta-c/,7,781,0.00896287,0
e-mart.com.bd/product/3w-clinic-intensive-uv-sunblock-cream-spf50-pa-70ml/,7,1185,0.00590717,0
e-mart.com.bd/product/cerave-moisturising-cream-454g/,7,65,0.10769231,0
e-mart.com.bd/product/kaine-green-calm-aqua-cream-70ml/,7,124,0.05645161,0
