Name: What people are searching for on Google
"Time period: Feb 2, 2026 - May 29, 2026"
Filters: Country = BD
Topic,Search rank,Search trend
Skin Care,78,-0.1623654
Moisturizers,31,-0.25919971
Sunscreen,12,-0.21502256
Shampoo,9,-0.10416625
Bar Soap,4,-0.04773654
Acne Treatments,3,-0.23550007
Facial Moisturizers,3,-0.23522038
Hair Styling Products,2,-0.08626937
Lipstick,2,-0.07286392
Hair Oils & Serums,2,-0.21449981
Face Wash,1,-0.30649923
Body Lotion,<1,-0.50518553
Eye Cream,<1,-0.40003683
Toner & Astringents,<1,0.08948394
Conditioner,<1,-0.05082263
Facial Masks,<1,4.82008368
Facial Scrubs,<1,-1
Blotting Papers & Powders,<1,-1
Skin Care Sets,<1,0
Travel Toiletries,<1,0
