row_id,action,emart_name,target_price,target_size,status,reason_note,matched_product_ids,matched_product_names,current_sale_price_visibility_only
6,UPDATE_PRICE_TO_EMARTWAY,Cerave Eczema Relief Creamy Oil – 236 ml,2332,236ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Eczema Relief Creamy Oil – 236 ml"".",,,
7,UPDATE_PRICE_TO_EMARTWAY,Cerave Daily Moisturizing Lotion – 355 ml,2640,355ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Daily Moisturizing Lotion – 355 ml"".",,,
9,UPDATE_PRICE_TO_EMARTWAY,Cerave PM Facial Moisturizing Lotion – 89 ml,2494,89ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave PM Facial Moisturizing Lotion – 89 ml"".",,,
10,UPDATE_PRICE_TO_EMARTWAY,Cerave Hydrating Facial Cleanser – 473 ml,3388,473ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Hydrating Facial Cleanser – 473 ml"".",,,
11,UPDATE_PRICE_TO_EMARTWAY,Cerave Foaming Facial Cleanser – 473 ml,3872,473 ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Foaming Facial Cleanser – 473 ml"".",,,
12,UPDATE_PRICE_TO_EMARTWAY,Cerave Hydrating Facial Cleanser – 87 ml,1161,87ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Hydrating Facial Cleanser – 87 ml"".",,,
13,UPDATE_PRICE_TO_EMARTWAY,Cerave Foaming Facial Cleanser – 87 ml,1161,87ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Foaming Facial Cleanser – 87 ml"".",,,
14,UPDATE_PRICE_TO_EMARTWAY,Cerave Skin Renewing Retinol Serum – 30 ml,2883,30ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Skin Renewing Retinol Serum – 30 ml"".",,,
15,UPDATE_PRICE_TO_EMARTWAY,Cerave Baby Moisturizing Lotion – 237 ml,2418,237ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Baby Moisturizing Lotion – 237 ml"".",,,
16,UPDATE_PRICE_TO_EMARTWAY,Cerave Itch Relief Moisturizing Lotion – 237 ml,2418,237ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Itch Relief Moisturizing Lotion – 237 ml"".",,,
61,UPDATE_PRICE_TO_USER_LISTED_VALUE,Cerave SA Body Wash for Rough & Bumpy Skin – 296 ml,3300,,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave SA Body Wash for Rough & Bumpy Skin – 296 ml"".",,,
62,UPDATE_PRICE_TO_USER_LISTED_VALUE,Cerave Hydrating Body Wash – 296 ml,3200,,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Hydrating Body Wash – 296 ml"".",,,
63,UPDATE_PRICE_TO_USER_LISTED_VALUE,Cerave Healing Ointment – 340 g,4200,,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Healing Ointment – 340 g"".",,,
64,UPDATE_PRICE_TO_USER_LISTED_VALUE,Cerave Ultra-Light Moisturizing Lotion with Sunscreen SPF 30 – 50 ml,2700,,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Ultra-Light Moisturizing Lotion with Sunscreen SPF 30 – 50 ml"".",,,
65,UPDATE_PRICE_TO_USER_LISTED_VALUE,Cerave Hydrating Mineral Sunscreen SPF 50 Face – 75 ml,3200,,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave Hydrating Mineral Sunscreen SPF 50 Face – 75 ml"".",,,
67,REVIEW_UNSPECIFIED,CeraVe Hydrating Mineral Body Sunscreen Broad Spectrum SPF 50 150ml,,,MANUAL_REVIEW,Action is blank or review-only; no update prepared.,63435,CeraVe Hydrating Mineral Body Sunscreen Broad Spectrum SPF 50 150ml,
70,UPDATE_PRICE_TO_USER_LISTED_VALUE,Cerave SA Cream for Rough & Bumpy Skin – 340g,3900,,MANUAL_REVIEW,"No product matched by exact eMart product name ""Cerave SA Cream for Rough & Bumpy Skin – 340g"".",,,
76,DELETE_EMART_ITEM,CeraVe Neutrogena Deep Clean Facial Cleanser 200ml,,,DELETE_CANDIDATE_ONLY,Delete candidate only; no automatic deletion.,,,
79,UPDATE_SIZE_ONLY,CeraVe Facial Moisturising Lotion (PM) 52ml,,60ml,MANUAL_REVIEW,"No product matched by exact eMart product name ""CeraVe Facial Moisturising Lotion (PM) 52ml"".",,,
80,DELETE_EMART_ITEM,CeraVe Facial Moisturising Lotion SPF25 (AM) 52ml,,,DELETE_CANDIDATE_ONLY,Delete candidate only; no automatic deletion.,36443,CeraVe Facial Moisturising Lotion SPF25 (AM) 52ml,
