reason,product_id,product_title,current_brand,proposed_brand,brand_change,current_size_attr,proposed_size,size_note,confidence,action,classify_reason
missing_brand,93107,"CeraVe Hydrating Sunscreen SPF30 Medium Sheer Tint 50ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93108,"CeraVe Hydrating Sunscreen SPF 30 Light Sheer Tint 50ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93109,"CeraVe Acne Foaming Cream Wash 150ml (10% Benzoyl Peroxide)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93110,"CeraVe Hydrating Cleanser 20ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93112,"CeraVe Moisturising Lotion For Dry To Very Dry Skin 473ml (UK Version)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93113,"CeraVe Baby Wash & Shampoo 237ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93114,"CeraVe Daily Moisturizing Lotion 473ml (Normal To Dry Skin)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93115,"CeraVe Baby Moisturizing Cream 142g",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93116,"CeraVe AM Facial Moisturizing Lotion with Sunscreen 60ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93117,"CeraVe Hydrating Cream To Foam Cleanser For Normal To Dry Skin 237ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93118,"CeraVe Eye Repair Cream (USA Version)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93119,"CeraVe SA Smoothing Cream 177ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93120,"CeraVe Hydrating Foaming Oil Cleanser 236ml",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93121,"CeraVe Resurfacing Retinol Serum 30ml (USA Version)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93122,"CeraVe Daily Moisturizing Lotion 237ml (USA Version)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93123,"CeraVe Moisturizing Cream 340g UK Version (Dry To Very Dry Skin)",,CeraVe,yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93138,"Beauty of Joseon Revive Eye Serum Ginseng Retinal 10ml",,"Beauty of Joseon",yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93139,"Beauty of Joseon Revive Eye Serum Ginseng Retinal 30ml",,"Beauty of Joseon",yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
missing_brand,93143,"Beauty of Joseon Rice + Probiotics Sunscreen 10ml",,"Beauty of Joseon",yes,,,,high,assign_product_brand_taxonomy,"brand name found in product title; taxonomy term exists"
