reason,product_id,product_title,current_brand,proposed_brand,brand_change,current_size_attr,proposed_size,size_note,confidence,action,classify_reason
missing_size,2808,"Innisfree Jeju Volcanic Pore Cleansing Foam EX",innisfree,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,2964,"Purito Seoul Daily Soft Touch Sunscreen SPF50+ PA++++","Purito Seoul",,no,,60ml,"extracted from product slug: purito-daily-go-to-sunscreen-60ml",medium,manual_review_size_from_slug,"size found in slug but not title; human should verify before applying"
missing_size,3007,"PURITO Sea Buckthorn Vital 70 Cream","Purito Seoul",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3016,"Missha Airy Fit Sheet Mask (Potato)",Missha,,no,,,"single-unit product type; no size expected",info,no_size_expected,"tool / sheet mask / single-use item; size N/A"
missing_size,3018,"Missha Airy Fit Sheet Mask (Rice)",Missha,,no,,,"single-unit product type; no size expected",info,no_size_expected,"tool / sheet mask / single-use item; size N/A"
missing_size,3060,"Missha Airy Fit Sheet Mask (Pearl)",Missha,,no,,,"single-unit product type; no size expected",info,no_size_expected,"tool / sheet mask / single-use item; size N/A"
missing_size,3061,"Missha Airy Fit Sheet Mask (Shea Butter)",Missha,,no,,,"single-unit product type; no size expected",info,no_size_expected,"tool / sheet mask / single-use item; size N/A"
missing_size,3071,"Nacific Fresh Herb Origin Serum",Nacific,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3226,"PAXMOLY Aloe Vera Whitening Soap",Paxmoly,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3361,"COREANA Orthia Gold Ginseng Premium Snail Cream",Coreana,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3528,"Innisfree Intensive Long Lasting Sunscreen SPF50+ PA++++",innisfree,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3666,"Welcos Aloe Vera Moisture Real Soothing Gel","Welcos Confume",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3669,"Korean Red Ginseng Tea 50 Bags","Korea Red Ginseng",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3674,"Jumiso Have A Good Cream Snail & Centella",Jumiso,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3676,"JUMISO All Day Vitamin Nourishing & Recharging Wash-Off Mask",Jumiso,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3746,"Some By Mi aha bha pha 30 Days Cleansing Bar","Some By Mi",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3750,"ACWELL Licorice pH Balancing Cleansing Toner",Acwell,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,3961,"NEOGEN Real Cica Micellar Cleansing Foam",NEOGEN,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,4037,"SKINFOOD-Rice Daily Brightening Cleansing Foam",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,4039,"Skinfood Tomato Jelly Tint Lip #1 Cherry Tomato",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,4060,"Skinfood Tomato Jelly Tint Lip #2 Berry Tomato",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,4061,"Skinfood Tomato Jelly Tint Lip #3 Orange Tomato",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,4062,"Skinfood Tomato Jelly Tint Lip #4 Milk Tomato",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,4064,"innisfree green tea seed hyaluronic cream",innisfree,,no,,50ml,"extracted from product slug: innisfree-the-green-tea-seed-cream-50ml",medium,manual_review_size_from_slug,"size found in slug but not title; human should verify before applying"
missing_size,18095,"Cosrx Acne Pimple Master Patch 24 Patch",Cosrx,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,26253,"CeraVe Ultra-Light Moisturizing Lotion Spf30",CeraVe,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,26291,"Innisfree Intensive Long-Lasting Sunscreen Ex SPF50+ PA++++",innisfree,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,26544,"SKINFOOD Yuja C Dark Spot Clear Cream",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,26545,"SKINFOOD Yuja C Dark Spot Clear Essence",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,26568,"Skinfood Avocado Stick Lip Balm (Rich)",Skinfood,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,26940,"Thank you Farmer Safe Sun Fluid AGE 0880 SPF50+ PA++++","Thank You Farmer",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,27142,"Skylake Oriental Herb Houttuynia Cordata Hair Tonic",Skylake,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,27145,"Heeyul Premium 24K Gold Ampoule Cream",Heeyul,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,31919,"Technic Almond 24 False Nails With Glue - Gloss Purple",Technic,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,31924,"Technic Stiletto 24 False Nails With Glue - Gloss Red",Technic,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,31925,"Technic Squareletto 24 False Nails With Glue - Rose Gold Glitter",Technic,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36059,"M.A.C Amplified Lipstick",M.A.C,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36063,"M.A.C Matte Lipstick - Kinda Sexy",M.A.C,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36094,"M.A.C Studio Fix Fluid SPF 15 Foundation- NC 35",M.A.C,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36120,"M.A.C Satin Lipstick - Retro",M.A.C,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36128,"M.A.C Matte Lipstick",M.A.C,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36217,"Bioderma Photoderm AR Sun Active Defense SPF50+PA++++",Bioderma,,no,,30ml,"extracted from product slug: bioderma-photoderm-ar-tinted-cream-spf50-30ml",medium,manual_review_size_from_slug,"size found in slug but not title; human should verify before applying"
missing_size,36220,"Bioderma Photoderm Pediatrics Lait SPF50+ UVB UVA PA++++",Bioderma,,no,,40ml,"extracted from product slug: bioderma-photoderm-spot-age-spf50-40ml",medium,manual_review_size_from_slug,"size found in slug but not title; human should verify before applying"
missing_size,36232,"Bioderma Photoderm M Blue Light Protection Clarifying Gel Cream SPF 50+++",Bioderma,,no,,40ml,"extracted from product slug: bioderma-photoderm-m-sunscreen-cream-face-40ml",medium,manual_review_size_from_slug,"size found in slug but not title; human should verify before applying"
missing_size,36929,"The Body Shop Born Lippy Pot Lip Balm - Watermelon","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36938,"The Body Shop Born Lippy Pot Lip Balm - Satsuma Shimmer","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36941,"The Body Shop Mascara Super Volume","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36947,"The Body Shop Tea Tree Flawless BB Cream- 02 Medium","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36950,"The Body Shop Tea Tree Flawless BB Cream- 03 Dark","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36953,"The Body Shop All In One Instablur","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36956,"The Body Shop Shimmer Waves- Bronze","The Body Shop",,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36962,"L’Oreal Paris Infallible Primer Anti Redness 02",L'Oreal,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36965,"L’Oreal Infallible Pro-Matte 100 Porcelain",L'Oreal,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,36974,"Neutrogena VISIBLY CLEAR Pink Grapefruit Daily Scrub",Neutrogena,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
missing_size,37068,"Maybelline Baby Skin Instant Pore Eraser (UK)",Maybelline,,no,,,"size not in title, slug, or pa_pack-size attribute",low,manual_review,"title has no parseable size; needs owner to check product page or packaging"
