reason,product_id,brand,product_title,size,sku,price,slug,url
missing_size,2808,innisfree,"Innisfree Jeju Volcanic Pore Cleansing Foam EX",,KO003INI049,1100,innisfree-jeju-volcanic-pore-cleansing-foam-ex,https://e-mart.com.bd/product/innisfree-jeju-volcanic-pore-cleansing-foam-ex/
missing_size,2964,"Purito Seoul","Purito Seoul Daily Soft Touch Sunscreen SPF50+ PA++++",,KO007PUR014,1900,purito-daily-go-to-sunscreen-60ml,https://e-mart.com.bd/product/purito-daily-go-to-sunscreen-60ml/
missing_size,3007,"Purito Seoul","PURITO Sea Buckthorn Vital 70 Cream",,KO007PUR006,1700,purito-sea-buckthorn-vital-70-cream,https://e-mart.com.bd/product/purito-sea-buckthorn-vital-70-cream/
missing_size,3016,Missha,"Missha Airy Fit Sheet Mask (Potato)",,KO004MIS021,200,missha-airy-fit-sheet-mask-potato,https://e-mart.com.bd/product/missha-airy-fit-sheet-mask-potato/
missing_size,3018,Missha,"Missha Airy Fit Sheet Mask (Rice)",,KO004MIS019,200,missha-airy-fit-sheet-mask-rice,https://e-mart.com.bd/product/missha-airy-fit-sheet-mask-rice/
missing_size,3060,Missha,"Missha Airy Fit Sheet Mask (Pearl)",,KO004MIS015,200,missha-airy-fit-sheet-mask-pearl,https://e-mart.com.bd/product/missha-airy-fit-sheet-mask-pearl/
missing_size,3061,Missha,"Missha Airy Fit Sheet Mask (Shea Butter)",,KO004MIS014,200,missha-airy-fit-sheet-mask-shea-butter,https://e-mart.com.bd/product/missha-airy-fit-sheet-mask-shea-butter/
missing_size,3071,Nacific,"Nacific Fresh Herb Origin Serum",,kc013nc014,1700,nacific-fresh-herb-origin-serum,https://e-mart.com.bd/product/nacific-fresh-herb-origin-serum/
missing_size,3226,Paxmoly,"PAXMOLY Aloe Vera Whitening Soap",,kc022pm003,650,paxmoly-aloe-vera-whitening-soap,https://e-mart.com.bd/product/paxmoly-aloe-vera-whitening-soap/
missing_size,3361,Coreana,"COREANA Orthia Gold Ginseng Premium Snail Cream",,EM-CORE-ORGOGI-3361,3000,coreana-orthia-gold-ginseng-premium-snail-cream,https://e-mart.com.bd/product/coreana-orthia-gold-ginseng-premium-snail-cream/
missing_size,3528,innisfree,"Innisfree Intensive Long Lasting Sunscreen SPF50+ PA++++",,KO003INI015,1400,innisfree-intensive-long-lasting-sunscreen-spf50-pa,https://e-mart.com.bd/product/innisfree-intensive-long-lasting-sunscreen-spf50-pa/
missing_size,3666,"Welcos Confume","Welcos Aloe Vera Moisture Real Soothing Gel",,EM-WELC-ALVEMO-3666,800,welcos-aloe-vera-moisture-real-soothing-gel,https://e-mart.com.bd/product/welcos-aloe-vera-moisture-real-soothing-gel/
missing_size,3669,"Korea Red Ginseng","Korean Red Ginseng Tea 50 Bags",,EM-KORE-REGITE-3669,1500,korean-red-ginseng-tea-100-bags,https://e-mart.com.bd/product/korean-red-ginseng-tea-100-bags/
missing_size,3674,Jumiso,"Jumiso Have A Good Cream Snail & Centella",,EM-JUMI-HAGO-3674,1600,jumiso-have-a-good-cream-snail-centella,https://e-mart.com.bd/product/jumiso-have-a-good-cream-snail-centella/
missing_size,3676,Jumiso,"JUMISO All Day Vitamin Nourishing & Recharging Wash-Off Mask",,EM-JUMI-ALDAVI-3676,1600,jumiso-all-day-vitamin-nourishing-recharging-wash-off-mask,https://e-mart.com.bd/product/jumiso-all-day-vitamin-nourishing-recharging-wash-off-mask/
missing_size,3746,"Some By Mi","Some By Mi aha bha pha 30 Days Cleansing Bar",,KC001SBM024,1300,some-by-mi-aha-bha-pha-30-days-cleansing-bar,https://e-mart.com.bd/product/some-by-mi-aha-bha-pha-30-days-cleansing-bar/
missing_size,3750,Acwell,"ACWELL Licorice pH Balancing Cleansing Toner",,kc027aw008,1500,acwell-licorice-ph-balancing-cleansing-toner,https://e-mart.com.bd/product/acwell-licorice-ph-balancing-cleansing-toner/
missing_size,3956,Nacific,"NACIFIC Fresh Herb Origin Kit",,kc013nf021,1500,nacific-fresh-herb-origin-kit,https://e-mart.com.bd/product/nacific-fresh-herb-origin-kit/
missing_size,3961,NEOGEN,"NEOGEN Real Cica Micellar Cleansing Foam",,KC058NGN004,1700,neogen-real-cica-micellar-cleansing-foam,https://e-mart.com.bd/product/neogen-real-cica-micellar-cleansing-foam/
missing_size,4037,Skinfood,"SKINFOOD-Rice Daily Brightening Cleansing Foam",,KO002SF010,1200,skinfood-rice-daily-brightening-cleansing-foam,https://e-mart.com.bd/product/skinfood-rice-daily-brightening-cleansing-foam/
missing_size,4039,Skinfood,"Skinfood Tomato Jelly Tint Lip #1 Cherry Tomato",,KO002SF009,550,skinfood-tomato-jelly-tint-lip-1-cherry-tomato,https://e-mart.com.bd/product/skinfood-tomato-jelly-tint-lip-1-cherry-tomato/
missing_size,4060,Skinfood,"Skinfood Tomato Jelly Tint Lip #2 Berry Tomato",,KO002SF008,550,skinfood-tomato-jelly-tint-lip-2-berry-tomato,https://e-mart.com.bd/product/skinfood-tomato-jelly-tint-lip-2-berry-tomato/
