severity,type,id,title,detail
high,missing_or_bad_price,2583,"Some by mi Yuja Niacin 30 Days Blemish Care Serum 50ml",1800BDT
high,missing_or_bad_price,2584,"Some by mi Snail Truecica Miracle Repair Serum 50ml",1900BDT
high,missing_or_bad_price,2585,"COSRX BHA Blackhead Power Liquid 100ml",1800BDT
high,missing_or_bad_price,2586,"Some By Me AHA-BHA-PHA 30 Days Miracle Serum 50ml",1600BDT
high,missing_or_bad_price,2587,"Some By Mi AHA BHA PHA 30 Days Cream 60gm",1600BDT
high,missing_or_bad_price,2588,"Some by mi AHA-BHA-PHA 30DAYS Miracle Toner 150ml",1800BDT
high,missing_or_bad_price,2589,"Some By Mi Yuja Niacin 30 Days Brightening Toner 150ml",1600BDT
high,missing_or_bad_price,2591,"COSRX Advanced Snail Mucin 96 Power Essence 100ml",1700BDT
high,missing_or_bad_price,2592,"Cosrx AHA BHA Clarifying Treatment Toner 150ml",1400BDT
high,missing_or_bad_price,2593,"COSRX Centella Water Alcohol-Free Toner 150ml",1500BDT
high,missing_or_bad_price,2594,"COSRX Galactomyces 95 Tone Balancing Essence 100ml",1600BDT
high,missing_or_bad_price,2595,"COSRX Low pH Good Morning Gel Cleanser 150ml",1100BDT
high,missing_or_bad_price,2597,"Some By Mi Galactomyces Pure Vitamin C Glow Serum 30ml",2000BDT
high,missing_or_bad_price,2598,"Some By Mi Aha Bha Pha 30Days Miracle Acne Clear Foam 100ml",1300BDT
high,missing_or_bad_price,2605,"Dear Klairs Gentle Black Deep Cleansing Oil 150ml",2300BDT
high,missing_or_bad_price,2606,"Dear Klairs Supple Preparation Unscented Toner 180ml",2100BDT
high,missing_or_bad_price,2607,"COSRX Oil Free Ultra Moisturizing Lotion with Birch Sap 100ml",1700BDT
high,missing_or_bad_price,2611,"Innisfree Super Volcanic Pore Clay Mask 2X 100ml",2100BDT
high,missing_or_bad_price,2615,"Some By Mi Snail Truecica Miracle Repair Toner 135ml",1600BDT
high,missing_or_bad_price,2616,"Some By Mi Yuja Niacin Brightening Sleeping Mask 60g",1800BDT
high,missing_or_bad_price,2617,"SOME BY MI Snail Truecica Miracle Repair Low pH Gel Cleanser 100ml",1300BDT
high,missing_or_bad_price,2619,"Some By Mi Pure Vitamin C V10 Cleansing Soap 100g",1300BDT
high,missing_or_bad_price,2621,"Some By Mi Super Miracle 14 Days Spot All Kill Cream 30g",1700BDT
high,missing_or_bad_price,2623,"Some by Mi H7 Hydro Max Cream 50ml",1500BDT
high,missing_or_bad_price,2627,"Some By Mi Truecica Mineral Calming Tone-Up Suncream 50ml",1400BDT
high,missing_or_bad_price,2628,"Dear Klairs Freshly Juiced Vitamin Drop 35ml",2500BDT
high,missing_or_bad_price,2655,"innisfree Apple seed cleansing oil 150ml",1650BDT
high,missing_or_bad_price,2690,"Dear Klairs Midnight Blue Calming Cream 60ml",2900BDT
high,missing_or_bad_price,2692,"COSRX Two In One Poreless Power Liquid 100ml",1600BDT
high,missing_or_bad_price,2693,"COSRX AC Collection Ultimate Spot Cream 30g",1600BDT
high,missing_or_bad_price,2728,"I'M FROM Rice Toner 150ml",2500BDT
high,missing_or_bad_price,2730,"Skinfood Egg White Pore Mask 120g",1400BDT
high,missing_or_bad_price,2731,"SKINFOOD Rice Wash-Off Face Mask 100g",900BDT
high,missing_or_bad_price,2732,"Skinfood Black Sugar Mask Wash Off Exfoliator 100g",1200BDT
high,missing_or_bad_price,2734,"Nature Republic Soothing & Moisture Aloe Vera 92% Soothing Gel 300 ml",1000BDT
high,missing_or_bad_price,2735,"MIZON All In One Snail Repair Cream 75ml",2000BDT
high,missing_or_bad_price,2736,"COSRX All About Snail Trial Kit 4pcs kit",2000BDT
high,missing_or_bad_price,2737,"Cosrx Advanced Snail Peptide Eye Cream 25ml",1800BDT
high,missing_or_bad_price,2738,"MIZON Snail Recovery Gel Cream 45g",900BDT
high,missing_or_bad_price,2739,"Coxir black snail collagen cream 50ml",1700BDT
high,missing_or_bad_price,2779,"Innisfree The Green Tea Seed Serum 80ml",1900BDT
high,missing_or_bad_price,2781,"The FaceShop Rice Water Bright Foaming Cleanser 150ml",1100BDT
high,missing_or_bad_price,2782,"Innisfree Green Tea Amino Hydrating Cleansing Foam 150ml",1500BDT
high,missing_or_bad_price,2783,"Innisfree Jeju Volcanic Pore Scrub Foam 150ml",1100BDT
high,missing_or_bad_price,2808,"Innisfree Jeju Volcanic Pore Cleansing Foam EX",1100BDT
high,missing_or_bad_price,2809,"Innisfree Jeju Cherry Blossom Tone Up Cream 50ml",1800BDT
high,missing_or_bad_price,2811,"Innisfree Jeju Orchid Enriched Cream 50ml",2200BDT
high,missing_or_bad_price,2851,"Innisfree Green Tea Hydrating Amino Cleansing Oil – 150ml",1600BDT
high,missing_or_bad_price,2853,"Innisfree Jeju Orchid Eye Cream 30ml",2200BDT
high,missing_or_bad_price,2854,"Innisfree Bija Cica Gel Ex 40ml",2500BDT
high,missing_or_bad_price,2856,"Innisfree My Real Squeeze Mask - Tea Tree 20ml",150BDT
high,missing_or_bad_price,2857,"Innisfree My Real Squeeze Mask - Rose 20ml",250BDT
high,missing_or_bad_price,2858,"Innisfree My Real Squeeze Mask - Tomato 20ml",200BDT
high,missing_or_bad_price,2859,"Innisfree My Real Squeeze Mask - Lime 20ml",150BDT
high,missing_or_bad_price,2884,"Innisfree The Green Tea Seed Eye Cream 30ml",1900BDT
high,missing_or_bad_price,2885,"Innisfree My Real Squeeze Mask - Acai Berry 20ml",200BDT
high,missing_or_bad_price,2886,"Innisfree My Real Squeeze Mask - Ginseng 20ml",250BDT
high,missing_or_bad_price,2887,"Innisfree My Real Squeeze Mask - Manuka Honey 20ml",250BDT
high,missing_or_bad_price,2888,"Innisfree My Real Squeeze Mask-Aloe 20ml",150BDT
high,missing_or_bad_price,2889,"Innisfree My Real Squeeze Mask - Cucumber 20ml",250BDT
high,missing_or_bad_price,2890,"Innisfree My Real Squeeze Mask - Fig 20ml",250BDT
high,missing_or_bad_price,2911,"Innisfree My Real Squeeze Mask - Bamboo 20ml",200BDT
high,missing_or_bad_price,2913,"Innisfree Green Tea Sleeping Mask 80ml",1400BDT
high,missing_or_bad_price,2914,"Innisfree No Sebum Mineral Powder 5gm",850BDT
high,missing_or_bad_price,2915,"Jeju Cherry Blossom Jam Cleanser 150gm",1500BDT
high,missing_or_bad_price,2956,"ETUDE HOUSE Wonder Pore Freshner 250ml",1300BDT
high,missing_or_bad_price,2961,"PURITO Centella Green Level Calming Toner 200ml",1900BDT
high,missing_or_bad_price,2962,"Wonder Releaf Centella Eye Cream Unscented 30ml",1300BDT
high,missing_or_bad_price,2963,"Purito SEOUL Wonder Releaf Centella Cream Unscented 50ml",1700BDT
high,missing_or_bad_price,2964,"Purito Seoul Daily Soft Touch Sunscreen SPF50+ PA++++",1900BDT
high,missing_or_bad_price,2966,"PURITO Centella Unscented Serum 15ml",748BDT
high,missing_or_bad_price,2968,"PURITO From Green Cleansing Oil 200ML",1900BDT
high,missing_or_bad_price,2969,"Deep Sea Pure Water Cream 50g",1700BDT
high,missing_or_bad_price,2970,"PURITO Defence Barrier Ph Cleanser 150ml",1500BDT
high,missing_or_bad_price,2972,"PURITO Pure Vitamin C Serum 60ml",1700BDT
high,missing_or_bad_price,3007,"PURITO Sea Buckthorn Vital 70 Cream",1700BDT
high,missing_or_bad_price,3008,"Missha All Around Safe Block Soft Finish Sun Milk SPF50+/PA+++ 70ml",1500BDT
high,missing_or_bad_price,3009,"Missha All Around Safe Block Essence Sun Milk SPF50+/PA+++ 70ml",1400BDT
high,missing_or_bad_price,3010,"Missha All Around Safe Block Waterproof Sun Milk SPF50+/PA+++ (70ml)",1400BDT
high,missing_or_bad_price,3016,"Missha Airy Fit Sheet Mask (Potato)",200BDT
high,missing_or_bad_price,3018,"Missha Airy Fit Sheet Mask (Rice)",200BDT
high,missing_or_bad_price,3060,"Missha Airy Fit Sheet Mask (Pearl)",200BDT
high,missing_or_bad_price,3061,"Missha Airy Fit Sheet Mask (Shea Butter)",200BDT
high,missing_or_bad_price,3065,"Nacific Phyto Niacin Whitening Essence 50ml",1700BDT
high,missing_or_bad_price,3067,"Nacific Real Floral Rose Toner 180ml",1700BDT
high,missing_or_bad_price,3071,"Nacific Fresh Herb Origin Serum",1700BDT
high,missing_or_bad_price,3100,"Nacific Phyto Niacin Whitening Toner 150ml",1800BDT
high,missing_or_bad_price,3101,"Nacific Glow Intensive Bubble Toner 145 ml",1800BDT
high,missing_or_bad_price,3102,"COXIR BLACK SNAIL COLLAGEN SERUM 50ml",1700BDT
high,missing_or_bad_price,3106,"COXIR Ultra Hyaluronic Cleansing Oil 150ml",1500BDT
high,missing_or_bad_price,3107,"COXIR Ultra Hyaluronic Ampoule 50ml",1700BDT
high,missing_or_bad_price,3133,"COXIR Ultra Hyaluronic Cream 50ml",1500BDT
high,missing_or_bad_price,3134,"COXIR Ultra Hyaluronic Toner 150ml",1500BDT
high,missing_or_bad_price,3135,"COXIR Tea Tree Pore & Sebum Toner 150ml",1300BDT
high,missing_or_bad_price,3137,"Coxir Vita C Bright Serum 50ml",1700BDT
high,missing_or_bad_price,3138,"Coxir Black Snail Collagen Eye Cream 30ml",1500BDT
high,missing_or_bad_price,3139,"Coxir Vita C Bright Cream 50ml",1700BDT
high,missing_or_bad_price,3178,"TIAM My Signature A+ Cream 50ml",1700BDT
high,missing_or_bad_price,3181,"Tiam Vita B3 Source Serum 40ml",1600BDT
high,missing_or_bad_price,3183,"BY WISHTREND Teca 1% Barrier Cream 30ml",2100BDT
high,missing_or_bad_price,3184,"Tiam AC Fighting AHA BHA PHA Toner 180ml",1500BDT
high,missing_or_bad_price,3185,"TIA'M AC Fighting Oil-Free Aqua Cream 80ml",1700BDT
high,missing_or_bad_price,3186,"Some By Mi Snail Truecica Repair Starter Kit 4pcs",1600BDT
high,missing_or_bad_price,3187,"TIAM Low pH Cleanser 200ml",1100BDT
high,missing_or_bad_price,3188,"THE FACE SHOP Rice Water Bright Light Cleansing Oil 150ml",1290BDT
high,missing_or_bad_price,3192,"PaxMoly Tomato 99% Soothing Gel 300g",900BDT
high,missing_or_bad_price,3217,"The Face Shop Rice Water Bright Rich Cleansing Oil 150ml",1100BDT
high,missing_or_bad_price,3218,"JNH Ultimate Vitamin C Cream 25g",2500BDT
high,missing_or_bad_price,3223,"PaxMoly Jeju Deep Sea Water Soothing Gel 300g",900BDT
high,missing_or_bad_price,3225,"PaxMoly Aloe Vera Soothing Gel 300g",750BDT
high,missing_or_bad_price,3226,"PAXMOLY Aloe Vera Whitening Soap",650BDT
high,missing_or_bad_price,3266,"SKINMISO Pore Purifying Toner 250 ml",1500BDT
high,missing_or_bad_price,3269,"SKINMISO Rice Foam Cleansing 150ml",1500BDT
high,missing_or_bad_price,3272,"BY WISHTREND Mandelic Acid 5% Skin Prep Water 150ml",2100BDT
high,missing_or_bad_price,3273,"BY WISHTREND Polyphenols in Propolis 15% Ampoule 30ml",2500BDT
high,missing_or_bad_price,3274,"BY WISHTREND Acid-duo 2% Mild Gel Cleanser 150ml",1700BDT
high,missing_or_bad_price,3276,"BY WISHTREND Vitamin 75 Maximizing Cream 50ml",2500BDT
high,missing_or_bad_price,3277,"Secret Key Snow White Cream 50g",1400BDT
high,missing_or_bad_price,3321,"SKINFOOD Tea Tree Clearing Toner 150ml",1400BDT
high,missing_or_bad_price,3361,"COREANA Orthia Gold Ginseng Premium Snail Cream",3000BDT
high,missing_or_bad_price,3363,"LANEIGE Lip Sleeping Mask (Berry) 15g",1400BDT
high,missing_or_bad_price,3364,"LANEIGE Lip Sleeping Mask Berry 3g",450BDT
high,missing_or_bad_price,3401,"Laneige Water Bank Moisture Cream 50ml",3000BDT
high,missing_or_bad_price,3407,"LANEIGE Cica Sleeping Mask 60ml",2600BDT
high,missing_or_bad_price,3446,"Koelcia Soothing Gel Tomato 300ml",750BDT
high,missing_or_bad_price,3497,"3W Clinic Collagen And Luxury Gold Cream 100ml",1550BDT
high,missing_or_bad_price,3509,"3W CLINIC Pure Natural Brown Rice Cleansing Foam 100ml",900BDT
high,missing_or_bad_price,3527,"Some By Mi AHA BHA PHA 30 Days Starter Kit 4PCS",1600BDT
high,missing_or_bad_price,3528,"Innisfree Intensive Long Lasting Sunscreen SPF50+ PA++++",1400BDT
high,missing_or_bad_price,3603,"THE FACESHOP Rice water bright Cleansing Cream(200ml)",1200BDT
high,missing_or_bad_price,3607,"SOME BY MI Snail Truecica Miracle Repair Cream 60g",1800BDT
high,missing_or_bad_price,3608,"Some By Mi Bye Bye Blackhead Green Tea Tox Bubble Cleanser 120g",1500BDT
high,missing_or_bad_price,3610,"The YEON Vita7 AHA/BHA Energy Peeling Gel 100 ml",1500BDT
high,missing_or_bad_price,3629,"Confume Argan Gold Treatment ? 200 gm",1360BDT
high,missing_or_bad_price,3630,"Confume Argan Damage Hair Treatment 200 gm",1360BDT
high,missing_or_bad_price,3666,"Welcos Aloe Vera Moisture Real Soothing Gel",800BDT
high,missing_or_bad_price,3669,"Korean Red Ginseng Tea 50 Bags",1500BDT
high,missing_or_bad_price,3671,"Kwailnara Confume Argan Gold Moisture Body Lotion 500 gm",1880BDT
high,missing_or_bad_price,3672,"Jumiso All Day Vitamin Brightening & Balancing Facial Serum 30ml",1700BDT
high,missing_or_bad_price,3673,"Jumiso Yes I Am Toner AHA 5% 150ml",1600BDT
high,missing_or_bad_price,3674,"Jumiso Have A Good Cream Snail & Centella",1600BDT
high,missing_or_bad_price,3676,"JUMISO All Day Vitamin Nourishing & Recharging Wash-Off Mask",1600BDT
high,missing_or_bad_price,3699,"SOME BY MI Galactomyces Pure Vitamin C Glow Toner 200ml",1600BDT
high,missing_or_bad_price,3700,"CosRx Advanced Snail 92 All In One Cream 100g",1700BDT
