Date,Affected pages
2026-02-14,95
2026-02-15,94
2026-02-16,94
2026-02-17,94
2026-02-18,92
2026-02-19,92
2026-02-20,92
2026-02-21,92
2026-02-22,93
2026-02-23,93
2026-02-24,93
2026-02-25,171
2026-02-26,171
2026-02-27,171
2026-02-28,171
2026-03-01,171
2026-03-02,171
2026-03-03,171
2026-03-04,305
2026-03-05,305
2026-03-06,305
2026-03-07,305
2026-03-08,641
2026-03-09,641
2026-03-10,641
2026-03-11,874
2026-03-12,874
2026-03-13,874
2026-03-14,874
2026-03-15,874
2026-03-16,1006
2026-03-17,1006
2026-03-18,1147
2026-03-19,1147
2026-03-20,1147
2026-03-21,1147
2026-03-22,1369
2026-03-23,1369
2026-03-24,1369
2026-03-25,1572
2026-03-26,1572
2026-03-27,1572
2026-03-28,1572
2026-03-29,1691
2026-03-30,1691
2026-03-31,1691
2026-04-01,1832
2026-04-02,1832
2026-04-03,1832
2026-04-04,1832
2026-04-05,1919
2026-04-06,1919
2026-04-07,2119
2026-04-08,2119
2026-04-09,2119
2026-04-10,2119
2026-04-11,2165
2026-04-12,2165
2026-04-13,2165
2026-04-14,2041
2026-04-15,2041
2026-04-16,2041
2026-04-17,2041
2026-04-18,2752
2026-04-19,2752
2026-04-20,2752
2026-04-21,3099
2026-04-22,3099
2026-04-23,3099
2026-04-24,3099
2026-04-25,3111
2026-04-26,3111
2026-04-27,3111
2026-04-28,3068
2026-04-29,3068
2026-04-30,3068
2026-05-01,3068
2026-05-02,3018
2026-05-03,3018
2026-05-04,3018
2026-05-05,3075
2026-05-06,3075
2026-05-07,3075
2026-05-08,3075
