action,post_id,slug,title,origin,field,meta_key,label_status,before_snippet,after_snippet
planned_update,26259,the-body-shop-himalayan-charcoal-purifying-glow-mask-75ml,"The Body Shop Himalayan Charcoal Purifying Glow Mask 75ml",UK,post_content,,origin_specific_safe_text,"Emart Skincare Bangladesh-তে এই পণ্যটা আনার পেছনে একটা গল্প আছে। Dhaka’s heat, humidity, and pollution can take a...","Emart Skincare Bangladesh-তে এই পণ্যটা আনার পেছনে একটা গল্প আছে। Dhaka’s heat, humidity, and pollution can take a..."
planned_update,26259,the-body-shop-himalayan-charcoal-purifying-glow-mask-75ml,"The Body Shop Himalayan Charcoal Purifying Glow Mask 75ml",UK,post_excerpt,,origin_specific_safe_text,"Buy The Body Shop Himalayan Charcoal Purifying Glow Mask 75ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy The Body Shop Himalayan Charcoal Purifying Glow Mask 75ml in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26267,the-body-shop-vitamin-e-night-nourishing-cream-50ml,"The Body Shop Vitamin E Night Nourishing Cream 50ml",UK,post_excerpt,,origin_specific_safe_text,"Buy The Body Shop Vitamin E Night Nourishing Cream 50ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy The Body Shop Vitamin E Night Nourishing Cream 50ml in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26353,simple-kind-to-skin-moisturising-facial-wash-150ml,"Simple Kind To Skin Moisturising Facial Wash 150ml",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Kind To Skin Moisturising Facial Wash 150ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Kind To Skin Moisturising Facial Wash 150ml in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26359,simple-kind-to-skin-hydrating-light-moisturiser-125gm,"Simple Kind to Skin Hydrating Light Moisturiser 125gm",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Kind to Skin Hydrating Light Moisturiser 125gm in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Kind to Skin Hydrating Light Moisturiser 125gm in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26362,simple-kind-to-skin-soothing-facial-toner-200ml,"Simple Kind To Skin Soothing Facial Toner 200ml",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Kind To Skin Soothing Facial Toner 200ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Kind To Skin Soothing Facial Toner 200ml in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26366,simple-micellar-gel-wash-150ml,"Simple Purifying Gel Wash (150ml)",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Purifying Gel Wash (150ml) in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Purifying Gel Wash (150ml) in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26368,simple-daily-detox-purifying-face-wash-150ml,"Simple Daily Detox Purifying Face Wash 150ml",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Daily Detox Purifying Face Wash 150ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Daily Detox Purifying Face Wash 150ml in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26371,simple-regeneration-facial-wash-age-resisting-150ml,"Simple Regeneration Facial Wash Age Resisting 150ml",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Regeneration Facial Wash Age Resisting 150ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Regeneration Facial Wash Age Resisting 150ml in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
planned_update,26435,simple-kind-to-skin-replenishing-rich-moisturizer-125gm,"Simple Kind to Skin Replenishing Rich Moisturizer (125gm)",UK,post_excerpt,,origin_specific_safe_text,"Buy Simple Kind to Skin Replenishing Rich Moisturizer (125gm) in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Simple Kind to Skin Replenishing Rich Moisturizer (125gm) in Bangladesh. 100% authentic UK-origin product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh."
