product_id,status,title,slug,keep_meta_id,keep_sku,delete_meta_id,delete_sku,action,flags
4486,publish,"Some By Mi Bye Bye Blemish Vita Tox Brightening Bubble Cleanser 120g",some-by-mi-bye-bye-blemish-vita-tox-brightening-bubble,97034,KC001SBM0134,184439,KC001SBM0134,DELETE_DUPLICATE_META_ROW,
18095,publish,"Cosrx Acne Pimple Master Patch 24 Patch",cosrx-acne-pimple-master-patch-24-patch,98927,KO005CR01714,186036,KO005CR01714,DELETE_DUPLICATE_META_ROW,
23083,publish,"The Ordinary AHA 30% + BHA 2% Peeling Solution 30ml",the-ordinary-aha-30bha-2-peeling-solution-30ml,102416,us001to0001,188883,us001to0001,DELETE_DUPLICATE_META_ROW,
23486,publish,"CeraVe Skin Renewing Retinol Serum 30ml",cerave-skin-renewing-retinol-serum-30ml,102699,UK001CV005,189132,UK001CV005,DELETE_DUPLICATE_META_ROW,
24437,publish,"CeraVe Acne Foaming Cream Cleanser 150ml",cerave-acne-foaming-cream-cleanser,106421,UK001CV0013,192073,UK001CV0013,DELETE_DUPLICATE_META_ROW,
26163,publish,"JNH Sseng Eol Whipping Cleansing Foam 150ml",jnh-sseng-eol-whipping-cleansing-foam-150ml,79352,kc018jnh0021,169815,kc018jnh0021,DELETE_DUPLICATE_META_ROW,
26194,publish,"Secret Key Snow White milky Pack 120g",secret-key-snow-white-milky-pack-120g,80701,kc025sk002-1,171037,kc025sk002-1,DELETE_DUPLICATE_META_ROW,
26291,publish,"Innisfree Intensive Long-Lasting Sunscreen Ex SPF50+ PA++++",innisfree-intensive-long-lasting-sunscreen-spf50-pa-2,84888,KO003INI0150,174422,KO003INI0150,DELETE_DUPLICATE_META_ROW,
26355,publish,"Some By Mi aha bha pha 30 Days Cleansing Bar 106g",some-by-mi-aha-bha-pha-30-days-miracle-cleansing-bar,87881,KC001SBM02452,176917,KC001SBM02452,DELETE_DUPLICATE_META_ROW,
26400,publish,"Tiam Anti-Blemish Body Lotion 200ml",tiam-anti-blemish-body-lotion-200ml,89845,KO017TAM011,178598,KO017TAM011,DELETE_DUPLICATE_META_ROW,
