product_id,product_slug,product_name,brand_name,brand_slug,current_origin_categories,proposed_origin,confidence,source,action
60334,2080-pure-mountain-salt-mild-mint-flavor-toothpaste-120-g,2080 Pure Mountain Salt Mild Mint Flavor Toothpaste 120 g,2080,2080,,,unknown,needs_research_or_user_review,manual_review
60408,2080-pure-mountain-salt-fresh-mint-flavor-toothpaste-120-g,2080 Pure Mountain Salt Fresh Mint Flavor Toothpaste 120 g,2080,2080,,,unknown,needs_research_or_user_review,manual_review
3497,3w-clinic-collagen-and-luxury-gold-cream-100ml,3W Clinic Collagen And Luxury Gold Cream 100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
3509,3w-clinic-pure-natural-brown-rice-cleansing-foam-100ml,3W CLINIC Pure Natural Brown Rice Cleansing Foam 100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
3703,3w-clinic-3w-clinic-collagen-whitening-cream-60ml,3W CLINIC Collagen Whitening Cream 60ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
3704,3w-clinic-cleansing-foam-rose-water-100ml,3W Clinic Cleansing foam Rose water 100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
3705,3w-clinic-black-pearl-eye-cream-40ml,3W Clinic Black Pearl Eye Cream 40ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
3706,3w-clinic-collagen-luxury-gold-premium-eye-cream-40ml,3W CLINIC Collagen & Luxury Gold Premium Eye Cream 40ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
4225,3w-clinic-collagen-and-luxury-revitalizing-comfort-24k-gold-essence-150ml,3W Clinic collagen and luxury revitalizing comfort 24K gold essence 150ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
4375,3w-clinic-honey-eye-cream-40ml,3W Clinic Honey Eye Cream 40ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
4376,3w-clinic-horse-oil-eye-cream-40ml,3W Clinic Horse Oil Eye Cream 40ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
26653,3w-clinic-intensive-uv-sunblock-cream-spf50-pa-70ml,3w Clinic Intensive Uv Sunblock Cream Spf50 Pa+++ 70ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
27022,3w-clinic-relaxing-body-lotion-camellia-550ml-2,3W clinic relaxing body lotion Camellia 550ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
27117,3w-clinic-enrich-lovely-foot-cream-100ml-2,3W CLINIC Enrich Lovely Foot Cream 100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
27167,3w-clinic-green-tea-foam-cleansing-100ml-3,3W Clinic Green Tea Foam Cleansing (100ml),3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
38306,3w-clinic-crystal-white-milky-cream-50g,3W Clinic Crystal White Milky Cream 50g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43232,3w-clinic-hyaluronic-eye-cream-40ml,3W Clinic Hyaluronic Eye Cream 40ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43252,3w-clinic-collagen-beauty-soap-120g,3W Clinic Collagen Beauty Soap 120g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43276,3w-clinic-white-claypearl-beauty-soap,3W CLINIC Clay Pearl Soap 120g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43279,3w-clinic-honey-gold-beauty-soap-120g,3W CLINIC Honey Gold Beauty Soap 120g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43282,3w-clinic-rose-soap-120g,3W CLINIC Rose Soap 120g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43289,3w-clinic-charcoal-beauty-soap-120g,3W CLINIC Charcoal Beauty Soap 120g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
43290,3w-clinic-herbal-greenteabeauty-soap-120g,3W CLINIC Herbal Green Tea Beauty Soap 120g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
52106,3w-clinic-crystal-white-milky-lotion150g,3W Clinic Crystal White Milky lotion150g,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
53439,3w-clinic-olive-argan-2in1-shampoo-500ml,3W Clinic Olive & Argan 2IN1 Shampoo 500ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
60870,3w-clinic-rose-water-cleansing-foam-100ml,3w Clinic Rose Water Cleansing Foam 100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
60872,3w-clinic-charcoal-cleansing-foam-100-ml,3w Clinic Charcoal Cleansing Foam 100 ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
60996,3w-clinic-collagen-luxury-gold-revitalizing-comfort-gold-cream-100ml,3w Clinic Collagen & Luxury Gold Revitalizing Comfort Gold Cream 100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
61030,3w-clinic-brown-rice-cleansing-foam-100-ml,3W Clinic Brown Rice Cleansing Foam 100 ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
61032,3w-clinic-collagen-cleansing-foam-100-ml,3W Clinic Collagen Cleansing Foam 100 ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
61034,3w-clinic-collagen-eye-cream-40-ml,3w Clinic Collagen Eye Cream 40 ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
61036,3w-clinic-green-tea-cleansing-foam-100-ml,3w Clinic Green Tea Cleansing Foam 100 ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
61038,3w-clinic-multi-protection-uv-sun-block-70-ml,3W Clinic Multi Protection UV Sun Block 70 ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
61040,3w-crystal-white-milk-vitamin-revitalizing-comfort-white-essence-150-ml,3W Clinic Crystal White Milky Essence Vitamin + 150ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
63085,3w-clinic-intensive-green-tea-sunblock-cream-spf-50pa-70ml,3W Clinic Intensive Green Tea Sunblock Cream SPF 50+PA+++ 70ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
63087,3w-clinic-intensive-dr-kim-sun-cushion-15g-spf50-pa,3W CLINIC Intensive Dr.Kim Sun Cushion &#8211; 15g (SPF50+ PA++++),3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
63263,3w-clinic-snail-peptide-ball-eye-serum-30ml,3W Clinic Snail Peptide Ball eye Serum 30ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
63327,3w-clinic-charcoal-cleansing-foam100ml,3W Clinic Charcoal Cleansing Foam100ml,3W Clinic,3w-clinic,k-beauty-j-beauty|korean-beauty,korea,safe,known_k_beauty_brand,dry_run_assign_pa_origin
