import_id,import_status,import_title,import_categories,import_price,match_type,old_id,old_title,old_categories,old_price
92812,publish,Cerave Hydrating Cream-to-Foam Cleanser - 355 ml,"Face Cleansers, Face Cleansers",2500,core_no_size_spf,26156,CERAVE Hydrating Cream-to-Foam Cleanser 236 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, Face Cleansers, Face Cleansers, Face Cleansers, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials, Skincare Essentials",1700
92812,publish,Cerave Hydrating Cream-to-Foam Cleanser - 355 ml,"Face Cleansers, Face Cleansers",2500,core_no_size_spf,63129,Cerave Hydrating Cream-To-Foam Cleanser 87ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, Face Cleansers, Face Cleansers, Face Cleansers, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials, Skincare Essentials",1100.0
92824,publish,Cerave hydrating facial cleanser 355ml,"Face Cleansers, Face Cleansers, Face Cleansers",2500,core_no_size_spf,26098,CERAVE Hydrating Facial Cleanser 473ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, SHOP BY CONCERN, SHOP BY CONCERN",3200
92824,publish,Cerave hydrating facial cleanser 355ml,"Face Cleansers, Face Cleansers, Face Cleansers",2500,core_no_size_spf,63833,Cerave Hydrating Facial Cleanser &#8211; 87 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN",1100.0
92824,publish,Cerave hydrating facial cleanser 355ml,"Face Cleansers, Face Cleansers, Face Cleansers",2500,core_no_size_spf,63837,Cerave Hydrating Facial Cleanser &#8211; 473 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN",1900
92840,publish,Anua Heartleaf Pore Control Cleansing Oil Mild 200ml,"Face Cleansers, Face Cleansers, Face Cleansers",2100,core_no_size_spf,57471,Anua Heartleaf Pore Control Cleansing Oil 200ml mild,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Makeup &amp; Cosmetics, Makeup &amp; Cosmetics, Makeup Remover, Makeup Remover, Pores &amp; Oil Control, Pores &amp; Oil Control, SHOP BY CONCERN, SHOP BY CONCERN",2100
92850,publish,SOME BY MI Yuja Niacin Anti Blemish Cream 60ml,"Cream/Moisturizer, Cream/Moisturizer",1700,core_no_size_spf,61678,Some By Mi Yuja Niacin Anti Blemish Cream 60 g,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, SHOP BY CONCERN, SHOP BY CONCERN",1750
92854,publish,MEDICUBE Collagen Jelly Cream 110ml,"Cream/Moisturizer, Cream/Moisturizer",2500,core_no_size_spf,59024,Medicube Collagen Jelly Cream 50ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty",2100
92858,publish,MEDICUBE Deep Vita C Capsule Cream 55g,"Cream/Moisturizer, Cream/Moisturizer",2500,core_no_size_spf,58506,Medicube Deep Vita C Capsule Cream 55ml,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Melasma, Melasma, Melasma",2500
92864,publish,Cos De Baha Niacinamide 20% + Zinc 4% Serum 30ml (NZ),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",990,core_no_size_spf,43807,Cos De BAHA Niacinamide 20% + Zinc 4% Serum (NZ) 30ml,"Melasma, Melasma, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1300
92868,publish,Cos De Baha Centella Asiatica Recovery Serum 30ml(CH),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",950,core_no_size_spf,43768,Cos De BAHA Centella Asiatica Recovery Serum (CH) 30ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1200
92872,publish,Cos De BAHA M.A. Peptide Serum 60ml (P),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,43791,Cos De BAHA M.A Peptide Serum (P) 30ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1200
92872,publish,Cos De BAHA M.A. Peptide Serum 60ml (P),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,43794,Cos De BAHA M.A Peptide Serum (P) 60ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1500
92874,publish,Cos De BAHA Glycolic Acid 10% AHA Serum 30ml (G),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1100,core_no_size_spf,43774,Cos De BAHA Glycolic Acid 10% AHA Serum (G) 30ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1200
92878,publish,Skin1004 Madagascar Centella Ampoule Foam 20ml (Mini),"Face Cleansers, Face Cleansers",500,core_no_size_spf,57928,Skin1004 Madagascar Centella Ampoule Foam 125ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",1300.0
