emart_id,emart_title,skbd_slug,skbd_name,skbd_regular,skbd_sale,emart_regular,emart_sale,price_action,image_url,image_action,error
3961,NEOGEN Real Cica Micellar Cleansing Foam,neogen-real-cica-micellar-cleansing-foam,NEOGEN  Real Cica Micellar Cleansing Foam,2000.0,1700.0,1700,,skip,https://skincarebd.com/wp-content/uploads/2019/05/DSC02627_2048x.jpg,check_whitebg,
4224,CosRx Balancium B5 D-panthenol Cream 50ml,cosrx-balancium-b5-d-panthenol-cream-50ml,COSRX - Balancium B5 D-Panthenol Cream 50ml,2500.0,1300.0,1800,,set_sale ৳1300.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2021/01/Cosrx-B5-D-Panthenol-Cream-oo35mm_800x.jpg,check_whitebg,
3711,NEOGEN Dermalogy Age Defence Serum 50ml,neogen-dermalogy-age-defence-serum-50ml,NEOGEN - Dermalogy Age Defence Serum 50ml,2600.0,1700.0,2000,1700.0,skip,https://skincarebd.com/wp-content/uploads/2020/09/116894629_1213893868964441_3654208392706222969_n.jpg,check_whitebg,
63917,Paula&#8217;s Choice Advanced Replenishing Toner &#8211; 118ml,paulas-choice-advanced-replenishing-toner-118ml,Paula's Choice Advanced Replenishing Toner - 118ml,4800.0,2100.0,3400.0,,set_sale ৳2100.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/resist-advanced-replenishing-toner-7670-L.png,check_whitebg,
3673,Jumiso Yes I Am Toner AHA 5% 150ml,jumiso-yes-i-am-toner-aha-5-150ml,Jumiso Yes I Am Toner AHA 5% 150ml,1700.0,500.0,1600,,skip_suspicious (৳500.0 is 29% of reg ৳1700.0),https://skincarebd.com/wp-content/uploads/2019/08/toner.jpg,check_whitebg,
3135,COXIR Tea Tree Pore & Sebum Toner 150ml,coxir-tea-tree-pore-sebum-toner-150ml,coxir Tea Tree Pore &amp;amp; Sebum Toner 150ML,2300.0,600.0,1300,,skip_suspicious (৳600.0 is 26% of reg ৳2300.0),https://skincarebd.com/wp-content/uploads/2021/06/coxir-tea-tree-pore-sebum-toner.jpg,check_whitebg,
2739,Coxir black snail collagen cream 50ml,coxir-black-snail-collagen-cream-50ml,coxir Black Snail Collagen Cream 50ML,2000.0,1300.0,1700,,set_sale ৳1300.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2021/06/4e56b1fe6b46a82ea0138cb91c9644d2.png,check_whitebg,
3139,Coxir Vita C Bright Cream 50ml,coxir-vita-c-bright-cream-50ml,coxir Vita C Bright Cream 50ml,1700.0,1500.0,1700,,set_sale ৳1500.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2021/06/5c4d3f36fcbfa076a38796818eb9678a.png,check_whitebg,
63771,Innisfree Bija Trouble Skin Care Set,innisfree-bija-trouble-skin-care-set,Innisfree Bija Trouble Skin Care Set,3300.0,1000.0,3300.0,,skip_suspicious (৳1000.0 is 30% of reg ৳3300.0),https://skincarebd.com/wp-content/uploads/2022/05/281651633_5835953776419654_8859647541566365416_n-removebg-preview.png,check_whitebg,
3137,Coxir Vita C Bright Serum 50ml,coxir-vita-c-brightening-serum-50ml,COXIR VITA C BRIGHTENING SERUM 50ml,1700.0,1100.0,1700,1250,update_sale ৳1250→৳1100.0,https://skincarebd.com/wp-content/uploads/2021/06/5ba56a982c7f1923ea478d443359231e.png,check_whitebg,
3102,COXIR BLACK SNAIL COLLAGEN SERUM 50ml,coxir-black-snail-collagen-serum-50ml,COXIR Black Snail Collagen Serum 50ML,1700.0,1400.0,1700,,set_sale ৳1400.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2021/06/619eS6FA0QL._SL1500_.jpg,check_whitebg,
63663,Cerave Acne Control Gel 40ml,cerave-acne-control-gel-40ml,Cerave Acne Control Gel 40ml,3700.0,2200.0,2700.0,,set_sale ৳2200.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/acnecontrolgel_40ml-front-700x875-1.webp,check_whitebg,
63695,Neutrogena Rapid Clear Stubborn Acne Cleanser 147ml,neutrogena-rapid-clear-stubborn-acne-cleanser-147ml,Neutrogena Rapid Clear Stubborn Acne Cleanser 147ml,2150.0,1200.0,1300.0,,set_sale ৳1200.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/7915718621.jpg,check_whitebg,
2856,Innisfree My Real Squeeze Mask - Tea Tree 20ml,innisfree-my-real-squeeze-mask-tea-tree-20ml,Innisfree My Real Squeeze Mask [Tea Tree] 20ml,150.0,50.0,150,,skip_placeholder (৳50.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2018/11/innisfree-my-squeeze-mask-sheet-tea-tree-700.webp,check_whitebg,
2783,Innisfree Jeju Volcanic Pore Scrub Foam 150ml,innisfree-jeju-volcanic-pore-scrub-foam-150ml,Innisfree Jeju Volcanic Pore Scrub Foam 150ml,1900.0,980.0,1100,1000.0,update_sale ৳1000.0→৳980.0,https://skincarebd.com/wp-content/uploads/2018/04/29703_l.png,check_whitebg,
2851,Innisfree Green Tea Hydrating Amino Cleansing Oil – 150ml,innisfree-green-tea-cleansing-oil-150ml,innisfree green tea cleansing oil 150ml,2100.0,1100.0,1600,,set_sale ৳1100.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2020/01/innisfree-Green-Tea-Cleansing-Oil-150ml-1000x1000-1.jpg,check_whitebg,
74323,Coxir Green Tea pH Clear Foam Cleanser - 150ml,coxir-green-tea-ph-clear-foam-cleanser-150ml,coxir Green Tea pH Clear Foam Cleanser 150ml,1700.0,1100.0,1450.0,1087.5,skip,https://skincarebd.com/wp-content/uploads/2021/06/cf1b307ccb097cbb1ac010221b8821fc.png,check_whitebg,
2890,Innisfree My Real Squeeze Mask - Fig 20ml,innisfree-my-real-squeeze-mask-fig-20ml,Innisfree My Real Squeeze Mask [Fig] 20ml,150.0,50.0,250,150,skip_placeholder (৳50.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2018/11/24449_l.png,check_whitebg,
3816,TIA\'M Snail & Azulene Sleeping Mask 80ml,tiam-snail-azulene-sleeping-mask-80ml,Tiam Snail &amp;amp; Azulene Sleeping Mask 80ml,1700.0,1500.0,1600,,set_sale ৳1500.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2020/09/TIAM-Snail-amp-Azulene-Sleeping-Mask-1.jpg,check_whitebg,
63667,I’M FROM MUGWORT SPOT GEL 15ML (I’M FROM FIG BOOSTING ESSENCE – 30ML FREE),im-from-mugwort-spot-gel-15ml-im-from-fig-boosting-essence-30ml-free,I’M FROM MUGWORT SPOT GEL 15ML (I’M FROM FIG BOOSTING ESSENCE – 30ML FREE),4400.0,300.0,2800.0,1700.0,skip_placeholder (৳300.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2022/06/gettyimages-1277536658-170667a-1-scaled.jpg,check_whitebg,
