skbd_slug,skbd_url
etude-house-face-blur-spf33-pa-35g,https://skincarebd.com/product/etude-house-face-blur-spf33-pa-35g/
innisfree-my-daphne-body-cleanser-300ml,https://skincarebd.com/product/innisfree-my-daphne-body-cleanser-300ml/
innisfree-my-hair-anti-dandruff-shampoo-330ml,https://skincarebd.com/product/innisfree-my-hair-anti-dandruff-shampoo-330ml/
innisfree-camellia-essential-hair-treatment-150ml,https://skincarebd.com/product/innisfree-camellia-essential-hair-treatment-150ml/
tonymoly-the-chok-chok-green-tea-essential-soothing-gel-300ml,https://skincarebd.com/product/tonymoly-the-chok-chok-green-tea-essential-soothing-gel-300ml/
tonymoly-naturalth-goat-milk-whitening-toner-150ml,https://skincarebd.com/product/tonymoly-naturalth-goat-milk-whitening-toner-150ml/
tonymoly-the-chok-chok-green-tea-essential-soothing-gel-200ml,https://skincarebd.com/product/tonymoly-the-chok-chok-green-tea-essential-soothing-gel-200ml/
the-therapy-water-drop-anti-aging-moisturizing-serum-45ml,https://skincarebd.com/product/the-therapy-water-drop-anti-aging-moisturizing-serum-45ml/
entel-pine-mushroom-mask-pack,https://skincarebd.com/product/entel-pine-mushroom-mask-pack/
entel-snail-gold-mask-pack,https://skincarebd.com/product/entel-snail-gold-mask-pack/
entel-collagen-mask-pack,https://skincarebd.com/product/entel-collagen-mask-pack/
entel-cucumber-mask-pack,https://skincarebd.com/product/entel-cucumber-mask-pack/
entel-blue-berry-mask-pack,https://skincarebd.com/product/entel-blue-berry-mask-pack/
entel-horse-oil-mask-pack,https://skincarebd.com/product/entel-horse-oil-mask-pack/
entel-houttuynia-cordana-mask-pack,https://skincarebd.com/product/entel-houttuynia-cordana-mask-pack/
entel-aloevera-mask-pack,https://skincarebd.com/product/entel-aloevera-mask-pack/
entel-black-pearl-mask-sheet,https://skincarebd.com/product/entel-black-pearl-mask-sheet/
innisfree-canola-honey-lip-balm-smooth-care-3-5g-2,https://skincarebd.com/product/innisfree-canola-honey-lip-balm-smooth-care-3-5g-2/
innisfree-jeju-lava-seawater-special-kit,https://skincarebd.com/product/innisfree-jeju-lava-seawater-special-kit/
missha-frui-tea-cleansing-foam-pomegranate-tea-150ml,https://skincarebd.com/product/missha-frui-tea-cleansing-foam-pomegranate-tea-150ml/
missha-natural-soft-jelly-cleansing-puff-white-clay,https://skincarebd.com/product/missha-natural-soft-jelly-cleansing-puff-white-clay/
innisfree-cauliflower-mushroom-vital-serum-50ml,https://skincarebd.com/product/innisfree-cauliflower-mushroom-vital-serum-50ml/
etude-house-sun-minimi-kit-sample-1pack-3items,https://skincarebd.com/product/etude-house-sun-minimi-kit-sample-1pack-3items/
skin-food-royal-honey-essential-queens-serum-50ml,https://skincarebd.com/product/skin-food-royal-honey-essential-queens-serum-50ml/
tony-moly-fruity-capsule-tok-tok-orange-sleeping-pack-80ml,https://skincarebd.com/product/tony-moly-fruity-capsule-tok-tok-orange-sleeping-pack-80ml/
innisfree-the-green-tea-seed-serum-special-set,https://skincarebd.com/product/innisfree-the-green-tea-seed-serum-special-set/
innisfree-olive-real-ex-special-kit-4-items,https://skincarebd.com/product/innisfree-olive-real-ex-special-kit-4-items/
entel-aqua-mask-pack,https://skincarebd.com/product/entel-aqua-mask-pack/
