name,source,product_url,image_url,white_bg,price,status
MIXSOON Glacier Water Hyaluronic Acid Serum 300ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/mixsoonglacierwaterhyaluronicacidserum300ml/,https://skincarebd.com/wp-content/uploads/2024/03/MIXS09-S-removebg-preview.png,no,1200.0,non_white_bg
Numbuzin No 1 Pure Full Calming Herb Toner 300ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/numbuzinno1purefullcalmingherbtoner300ml/,https://skincarebd.com/wp-content/uploads/2023/08/GUEST_5a6b2ffa-d428-47de-81b6-f4741f77997d.avif,no,500.0,non_white_bg
Neogen Sur.Medic Super Glutathione 100™ Bright Tone Up Cream 40ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/neogensurmedicsuperglutathione100brighttoneupcream40ml/,https://skincarebd.com/wp-content/uploads/2021/05/2003_Super_Glutathione_100_Tone_Up_Cream_light-600x600-1.jpg,no,1600.0,non_white_bg
Isntree Ultra Low Molecular Hyaluronic Acid Serum 50ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/isntreeultralowmolecularhyaluronicacidserum50ml/,https://skincarebd.com/wp-content/uploads/2023/08/Isntree-Ultra-Low-Molecular-Hyaluronic-Acid-Serum-50ml.jpg,yes,1700.0,white_bg_ok
The Face Shop Rice Ceramide Moisture Cream 50ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/thefaceshopriceceramidemoisturecream50ml/,https://skincarebd.com/wp-content/uploads/2023/05/THE-FACE-SHOP-Rice-Ceramide-Moisture-Cream.jpg,yes,1200.0,white_bg_ok
Innisfree My Daphne Body Cleanser 300ml,skincarebd.com,https://skincarebd.com/product/innisfree-my-daphne-body-cleanser-300ml/,https://skincarebd.com/wp-content/uploads/2019/04/16227_l.png,yes,1000.0,white_bg_ok
Innisfree My Hair Anti Dandruff Shampoo 330ml,skincarebd.com,https://skincarebd.com/product/innisfree-my-hair-anti-dandruff-shampoo-330ml/,https://skincarebd.com/wp-content/uploads/2019/01/41fGPDb9zUL._SY355_.jpg,yes,150.0,white_bg_ok
INNISFREE Camellia essential hair treatment 150ml,skincarebd.com,https://skincarebd.com/product/innisfree-camellia-essential-hair-treatment-150ml/,https://skincarebd.com/wp-content/uploads/2018/04/9b98651ccc3a14a6420c058236f7639c.jpeg,yes,150.0,white_bg_ok
TONYMOLY The Chok Chok Green Tea Essential Soothing Gel 300ml,skincarebd.com,https://skincarebd.com/product/tonymoly-the-chok-chok-green-tea-essential-soothing-gel-300ml/,https://skincarebd.com/wp-content/uploads/2018/03/22396096_1622945847727139_3877783855385542656_n.jpg,yes,50.0,white_bg_ok
TONYMOLY Naturalth Goat Milk Whitening Toner 150ml,skincarebd.com,https://skincarebd.com/product/tonymoly-naturalth-goat-milk-whitening-toner-150ml/,https://skincarebd.com/wp-content/uploads/2018/04/s0021.jpg,yes,150.0,white_bg_ok
TONYMOLY The Chok Chok Green Tea Essential Soothing Gel 200ml,skincarebd.com,https://skincarebd.com/product/tonymoly-the-chok-chok-green-tea-essential-soothing-gel-200ml/,https://skincarebd.com/wp-content/uploads/2018/04/22287545_1486610888087719_1102692609404436480_n.jpg,yes,150.0,white_bg_ok
THE THERAPY Water Drop Anti-Aging Moisturizing Serum 45ml,skincarebd.com,https://skincarebd.com/product/the-therapy-water-drop-anti-aging-moisturizing-serum-45ml/,https://skincarebd.com/wp-content/uploads/2018/08/19423247501-700.jpg,yes,50.0,white_bg_ok
Entel Snail Gold Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-snail-gold-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/10/entel-snail-gold-mask-pack.jpg,yes,50.0,white_bg_ok
Entel Collagen Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-collagen-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/10/COLLAGEN-ENTEL-MASK.jpg,yes,50.0,white_bg_ok
Entel Cucumber Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-cucumber-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/10/entel-cucumber-mask-pack.jpg,yes,50.0,white_bg_ok
Entel Horse Oil Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-horse-oil-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/04/en006_3.jpg,yes,50.0,white_bg_ok
Entel Houttuynia Cordana Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-houttuynia-cordana-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/04/en005_2.jpg,yes,50.0,white_bg_ok
Entel Aloevera Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-aloevera-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/04/en011_1.jpg,yes,50.0,white_bg_ok
innisfree Jeju Lava Seawater Special Kit,skincarebd.com,https://skincarebd.com/product/innisfree-jeju-lava-seawater-special-kit/,https://skincarebd.com/wp-content/uploads/2018/09/21770590_736433796481410_5318346917602656256_n.jpg,yes,1000.0,white_bg_ok
MISSHA FRUI-TEA CLEANSING FOAM POMEGRANATE TEA 150ml,skincarebd.com,https://skincarebd.com/product/missha-frui-tea-cleansing-foam-pomegranate-tea-150ml/,https://skincarebd.com/wp-content/uploads/2018/10/product_kl1k28kji4b5.jpg,yes,900.0,white_bg_ok
INNISFREE CAULIFLOWER MUSHROOM VITAL SERUM 50ML,skincarebd.com,https://skincarebd.com/product/innisfree-cauliflower-mushroom-vital-serum-50ml/,https://skincarebd.com/wp-content/uploads/2018/08/Innisfree-Cauliflower-Mushroom-Vital-Serum-price-malaysia-singapore-thailand-vietnam-philippine-indonesia_300x300.jpg,yes,150.0,white_bg_ok
Etude House  Sun Minimi Kit Sample - 1pack (3items),skincarebd.com,https://skincarebd.com/product/etude-house-sun-minimi-kit-sample-1pack-3items/,https://skincarebd.com/wp-content/uploads/2018/12/Sample-Etude-House-Sun-Minimi-Set-3-Items-Title_1024x1024.jpg,yes,750.0,white_bg_ok
Skin Food Royal Honey Essential Queen's Serum 50ml,skincarebd.com,https://skincarebd.com/product/skin-food-royal-honey-essential-queens-serum-50ml/,https://skincarebd.com/wp-content/uploads/2018/08/download.jpg,yes,150.0,white_bg_ok
Tony Moly - Fruity Capsule Tok Tok Orange Sleeping Pack 80ml,skincarebd.com,https://skincarebd.com/product/tony-moly-fruity-capsule-tok-tok-orange-sleeping-pack-80ml/,https://skincarebd.com/wp-content/uploads/2018/04/s-l300.jpg,yes,50.0,white_bg_ok
INNISFREE OLIVE REAL EX SPECIAL KIT 4 ITEMS,skincarebd.com,https://skincarebd.com/product/innisfree-olive-real-ex-special-kit-4-items/,https://skincarebd.com/wp-content/uploads/2018/11/45265659_2418093534874380_809587084594511872_n.jpg,yes,50.0,white_bg_ok
Entel Aqua Mask Pack,skincarebd.com,https://skincarebd.com/product/entel-aqua-mask-pack/,https://skincarebd.com/wp-content/uploads/2018/04/en010_1.jpg,yes,50.0,white_bg_ok
