name,source,product_url,image_url,white_bg,price,status
Isntree Ultra Low Molecular Hyaluronic Acid Serum 50ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/isntreeultralowmolecularhyaluronicacidserum50ml/,https://skincarebd.com/wp-content/uploads/2023/08/Isntree-Ultra-Low-Molecular-Hyaluronic-Acid-Serum-50ml.jpg,yes,1700.0,white_bg_ok
The Face Shop Rice Ceramide Moisture Cream 50ml,both (skincarebd + emartway),https://www.emartwayskincare.com.bd/product/thefaceshopriceceramidemoisturecream50ml/,https://skincarebd.com/wp-content/uploads/2023/05/THE-FACE-SHOP-Rice-Ceramide-Moisture-Cream.jpg,yes,1200.0,white_bg_ok
Innisfree My Daphne Body Cleanser 300ml,skincarebd.com,https://skincarebd.com/product/innisfree-my-daphne-body-cleanser-300ml/,https://skincarebd.com/wp-content/uploads/2019/04/16227_l.png,yes,1000.0,white_bg_ok
innisfree Jeju Lava Seawater Special Kit,skincarebd.com,https://skincarebd.com/product/innisfree-jeju-lava-seawater-special-kit/,https://skincarebd.com/wp-content/uploads/2018/09/21770590_736433796481410_5318346917602656256_n.jpg,yes,1000.0,white_bg_ok
MISSHA FRUI-TEA CLEANSING FOAM POMEGRANATE TEA 150ml,skincarebd.com,https://skincarebd.com/product/missha-frui-tea-cleansing-foam-pomegranate-tea-150ml/,https://skincarebd.com/wp-content/uploads/2018/10/product_kl1k28kji4b5.jpg,yes,900.0,white_bg_ok
Etude House  Sun Minimi Kit Sample - 1pack (3items),skincarebd.com,https://skincarebd.com/product/etude-house-sun-minimi-kit-sample-1pack-3items/,https://skincarebd.com/wp-content/uploads/2018/12/Sample-Etude-House-Sun-Minimi-Set-3-Items-Title_1024x1024.jpg,yes,750.0,white_bg_ok
[MAY ISLAND] 7 Days Secret Pore Clear Powder Scrub - 1pack (5g x 12ea),skincarebd.com,https://skincarebd.com/product/may-island-7-days-secret-pore-clear-powder-scrub-1pack-5g-x-12ea/,https://skincarebd.com/wp-content/uploads/2019/08/68396113_1576271332514791_6960469917392961536_n.jpg,yes,1000.0,white_bg_ok
s recover- Apple Mango Soothing Gel Cream 300ml,skincarebd.com,https://skincarebd.com/product/apple-mango-soothing-gel-cream-300ml/,https://skincarebd.com/wp-content/uploads/2019/05/gel-s-aloe-s-recovery-apple-mango-99-soothing-gel-700x700.jpg,yes,700.0,white_bg_ok
Etude House Monster Micellar Cleansing Water,skincarebd.com,https://skincarebd.com/product/etude-house-monster-micellar-cleansing-water/,https://skincarebd.com/wp-content/uploads/2019/07/nuoc-tay-trang-etude-house-monster-micellar-cleansing-water-300ml-jeju-cosmetics-19.jpg,yes,600.0,white_bg_ok
Cosrx Natural BHA Skin Returning A-Sol 100 ml,skincarebd.com,https://skincarebd.com/product/cosrx-natural-bha-skin-returning-a-sol-100-ml/,https://skincarebd.com/wp-content/uploads/2018/11/COSRX-Natural-BHA-Skin-Returning-A-Sol-100ml-2-1.jpg,yes,1300.0,white_bg_ok
I'M FROM Volcanic Mask 110g,skincarebd.com,https://skincarebd.com/product/im-from-volcanic-mask-110g/,https://skincarebd.com/wp-content/uploads/2019/08/6837b858bbd8ee3b4324fae1f2c48d70_M3AStKUQefWYf3TlO7H81xtyB8Gc.jpg,yes,1300.0,white_bg_ok
Laneige Water Bank Hydro Essence 70ML,skincarebd.com,https://skincarebd.com/product/laneige-water-bank-hydro-essence-70ml/,https://skincarebd.com/wp-content/uploads/2019/07/108997918001n.jpg,yes,800.0,white_bg_ok
"innisfree My Lip Balm, 09 Very Berry Tea (15g)",skincarebd.com,https://skincarebd.com/product/innisfree-my-lip-balm-09-very-berry-tea-15g/,https://skincarebd.com/wp-content/uploads/2019/09/69542639_2940051636011898_2572477971973537792_n.jpg,yes,1100.0,white_bg_ok
INNISFREE BIJA TROUBLE SKIN 200ML,skincarebd.com,https://skincarebd.com/product/innisfree-bija-trouble-skin-200ml/,https://skincarebd.com/wp-content/uploads/2020/06/ezgif-4-98538423ee61.jpg,yes,1300.0,white_bg_ok
