severity,post_id,slug,title,humanized_at,brand,origin,expected_type,content_type_signals,meta_len,h3_count,has_disclaimer,focus_keyword,issues,meta
HIGH,3187,tiam-low-ph-cleanser-200ml,TIAM Low pH Cleanser 200ml,2026-05-31 18:53:56,TIAM,South Korea,foam_cleanser,toner|oil_cleanser,137,6,yes,TIAM Low pH Cleanser 200ml,HIGH:product_type_mismatch:expected=foam_cleanser content=toner|oil_cleanser,TIAM Low pH Cleanser for sensitive skin with Azulen and Snail Mucin — soothing Korean foam wash. Buy at Emart Bangladesh — COD available.
HIGH,26355,some-by-mi-aha-bha-pha-30-days-miracle-cleansing-bar,Some By Mi aha bha pha 30 Days Cleansing Bar 106g,2026-05-31 19:58:28,Some By Mi,South Korea,unknown,toner|oil_cleanser|foam_cleanser,156,6,yes,Some By Mi aha bha pha 30 Days Cleansing Bar 106g,HIGH:medical_claim:,"Some By Mi multi-acid cleansing bar for oily, acne-prone skin with AHA, BHA, PHA — exfoliates pores. Authentic South Korean import at Emart Bangladesh, COD."
HIGH,63463,cerave-hydrating-cream-to-foam-cleanser-normal-to-dry-skin-473ml,Cerave Hydrating Cream To Foam Cleanser (normal-to-dry skin) 473ml,2026-06-02 13:08:11,Cerave,USA,foam_cleanser,toner|foam_cleanser,144,6,yes,Cerave Hydrating Cream To Foam Cleanser (normal-to-dry skin) 473ml,HIGH:medical_claim:,"CeraVe cream-to-foam cleanser for dry, sensitive skin with ceramides — retains moisture. Ceramide-rich USA import buy at Emart Bangladesh — COD."
HIGH,75377,the-derma-co-2-sali-cinamide-anti-acne-face-wash-80ml,The Derma Co 2% Sali Cinamide Anti Acne Face Wash 80ml,2026-05-31 21:08:28,The Derma Co,India,foam_cleanser,toner|foam_cleanser,157,6,yes,The Derma Co 2% Sali Cinamide Anti Acne Face Wash 80ml,HIGH:medical_claim:,"The Derma Co foam cleanser for oily, acne-prone skin with 2% Salicylic Acid & Niacinamide. 2% Salicylic + Niacinamide formula — buy at Emart Bangladesh, COD."
HIGH,93110,cerave-hydrating-cleanser-20ml,CeraVe Hydrating Cleanser 20ml,2026-06-03 10:18:14,,USA,foam_cleanser,toner,143,6,yes,,HIGH:product_type_mismatch:expected=foam_cleanser content=toner || LOW:missing_focus_keyword:,"CeraVe hydrating cleanser for dry, sensitive skin with ceramides and hyaluronic acid. Fragrance-free USA import — buy at Emart Bangladesh, COD."
MED,2595,cosrx-low-ph-good-morning-gel-cleanser-150ml,COSRX Low pH Good Morning Gel Cleanser 150ml,2026-05-31T11:55:51+00:00,CosRx,South Korea,gel_cleanser,toner|oil_cleanser|gel_cleanser|foam_cleanser,134,7,yes,COSRX Low pH Good Morning Gel Cleanser 150ml,MED:h3_count_not_6:7,COSRX Low pH Gel Cleanser lifts oil while keeping the skin barrier intact. Low pH 5.5 tea tree formula — price in Bangladesh at Emart.
MED,4017,skinfood-egg-white-perfect-pore-cleansing-foam-150ml,Skinfood Egg White Perfect Pore Cleansing Foam 150ml,2026-05-31T12:28:19+00:00,skinfood,South Korea,foam_cleanser,toner|foam_cleanser,139,7,yes,Skinfood Egg White Perfect Pore Cleansing Foam 150ml,MED:h3_count_not_6:7,Skinfood Egg White Pore Cleansing Foam targets oily T-zones with egg white extract. Authentic Korean import — price in Bangladesh at Emart.
MED,4149,cosrx-advanced-snail-mucin-gel-cleanser-150ml,CosRx Advanced Snail Mucin Gel Cleanser 150ml,2026-05-31T12:28:18+00:00,CosRx,South Korea,gel_cleanser,toner|essence|gel_cleanser,153,7,yes,CosRx Advanced Snail Mucin Gel Cleanser 150ml,MED:h3_count_not_6:7,COSRX Snail Mucin Gel Cleanser removes impurities gently using 96% snail secretion filtrate. Barrier-safe Korean cleanser — price in Bangladesh at Emart.
MED,4172,innisfree-jeju-bija-trouble-facial-foam-150ml,Innisfree Bija Trouble Cleansing Foam 150ml,2026-05-31T13:02:16.293079+00:00,Innisfree,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,159,6,yes,Innisfree Bija Trouble Cleansing Foam 150ml,MED:meta_length_outside_130_158:159,Innisfree Bija Trouble Cleansing Foam clears acne and pores with Bija oil and salicylic acid. 100% authentic Korean foam cleanser price in Bangladesh at Emart.
MED,36319,simple-refreshing-facial-wash-150ml,Simple Refreshing Facial Wash 150ml,2026-05-31T12:28:15+00:00,Simple,UK,foam_cleanser,toner|gel_cleanser|foam_cleanser,152,7,yes,Simple Refreshing Facial Wash 150ml,MED:h3_count_not_6:7,Simple Refreshing Facial Wash cleanses without dryness using Panthenol and a soap-free formula. Fragrance-free UK import — price in Bangladesh at Emart.
MED,37375,the-body-shop-tea-tree-skin-clearing-facial-wash-250ml,The Body Shop Tea Tree Skin Clearing Facial Wash 250ml,2026-05-31T12:28:16+00:00,The Body Shop,UK,foam_cleanser,toner|gel_cleanser|foam_cleanser,157,7,yes,The Body Shop Tea Tree Skin Clearing Facial Wash 250ml,MED:h3_count_not_6:7,The Body Shop Tea Tree Facial Wash clears excess oil and blemishes with tea tree oil for acne-prone skin. Authentic UK import — price in Bangladesh at Emart.
MED,43859,axis-y-quinoa-one-step-balanced-gel-cleanser-180ml,Axis-Y Quinoa One Step Balanced Gel Cleanser 180ml,2026-05-31T13:00:39.567519+00:00,AXIS-Y,South Korea,gel_cleanser,toner|essence|gel_cleanser,159,6,yes,Axis-Y Quinoa One Step Balanced Gel Cleanser 180ml,MED:meta_length_outside_130_158:159,"Axis-Y Quinoa One Step Balanced Gel Cleanser gently removes impurities without stripping. Gel cleanser price in Bangladesh at Emart, authentic Korean skincare."
MED,93160,cosrx-salicylic-acid-daily-gentle-cleanser-150ml,COSRX Salicylic Acid Daily Gentle Cleanser 150ml,2026-05-31T12:28:17+00:00,CosRx,South Korea,foam_cleanser,foam_cleanser,154,7,yes,COSRX Salicylic Acid Daily Gentle Cleanser 150ml,MED:h3_count_not_6:7,COSRX Salicylic Acid Daily Cleanser targets oily pores with BHA for acne-prone skin in humid weather. Dermatologist-tested — price in Bangladesh at Emart.
LOW,93117,cerave-hydrating-cream-to-foam-cleanser-for-normal-to-dry-skin-237ml,CeraVe Hydrating Cream To Foam Cleanser For Normal To Dry Skin 237ml,2026-06-03 19:33:18,,USA,foam_cleanser,toner|oil_cleanser|foam_cleanser,146,6,yes,,LOW:missing_focus_keyword:,"CeraVe cream-to-foam cleanser for dry, sensitive skin with ceramides and hyaluronic acid. Ceramide-rich USA import — buy at Emart Bangladesh, COD."
LOW,93120,cerave-hydrating-foaming-oil-cleanser-236ml,CeraVe Hydrating Foaming Oil Cleanser 236ml,2026-06-03 19:33:22,,USA,oil_cleanser,toner|oil_cleanser|gel_cleanser|foam_cleanser,147,6,yes,,LOW:missing_focus_keyword:,"CeraVe oil-to-foam cleanser with Ceramides for dry, sensitive skin — hydrating barrier repair. Authentic USA import — buy at Emart Bangladesh, COD."
OK,2617,some-by-mi-snail-truecica-miracle-repair-low-ph-gel-cleanser-100ml,SOME BY MI Snail Truecica Miracle Repair Low pH Gel Cleanser 100ml,2026-06-01 12:06:08,Some By Mi,South Korea,gel_cleanser,toner|essence|gel_cleanser,153,6,yes,SOME BY MI Snail Truecica Miracle Repair Low pH Gel Cleanser 100ml,,"Some By Mi gel cleanser with Truecica and snail filtrate for acne-prone, sensitive skin — South Korean import. Buy at Emart Bangladesh with COD delivery."
OK,2782,innisfree-green-tea-amino-hydrating-cleansing-foam-150ml,Innisfree Green Tea Amino Hydrating Cleansing Foam 150ml,2026-06-01 21:35:10,Innisfree,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,150,6,yes,innisfree face wash price in bangladesh,,"Innisfree green tea amino foam for dry, dehydrated skin with Jeju green tea — hydrating and gentle. Low pH 5.5 formula — buy at Emart Bangladesh, COD."
OK,2808,innisfree-jeju-volcanic-pore-cleansing-foam-ex,Innisfree Jeju Volcanic Pore Cleansing Foam EX,2026-05-31 20:19:35,Innisfree,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,156,6,yes,Innisfree Jeju Volcanic Pore Cleansing Foam EX,,"Innisfree Jeju Volcanic foam cleanser for oily, combination skin — Jeju volcanic clusters absorb excess sebum. South Korean import at Emart Bangladesh, COD."
OK,3274,by-wishtrend-acid-duo-2-mild-gel-cleanser-150ml,BY WISHTREND Acid-duo 2% Mild Gel Cleanser 150ml,2026-05-31 19:58:28,By Wishtrend,South Korea,gel_cleanser,toner|essence|gel_cleanser,145,6,yes,BY WISHTREND Acid-duo 2% Mild Gel Cleanser 150ml,,"By Wishtrend Acid-duo gel for sensitive, combination skin with LHA (1%) + PHA (1%). Authentic South Korean import — buy at Emart Bangladesh, COD."
