#,brand,score,emart_sizes,emartway_sizes,emart_name,emartway_name,emart_price,emartway_price,diff_pct,emart_url,emartway_url
1,Beauty of Joseon,98.0,60ml,30ml,Beauty of Joseon Revive Serum: Ginseng + Snail Mucin 60ml,Beauty of Joseon Revive Serum: Ginseng + Snail Mucin 30ml,1900,1275,49.0,https://e-mart.com.bd/shop/beauty-of-joseon-revive-serum-ginseng-snail-mucin-60ml,https://www.emartwayskincare.com.bd/beauty-of-joseon-revive-serum-ginseng--snail-mucin-30ml
2,SKIN1004,98.0,100ml,15ml,Skin1004 Madagascar Centella Hyalu Cica Water Fit Sun Serum SPF50+ PA++++ 100ml,Skin1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50+ PA++++ 15ml,2500,731,242.0,https://e-mart.com.bd/shop/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-spf50-pa-100ml,https://www.emartwayskincare.com.bd/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-15ml
3,CeraVe,97.7,236ml,237ml,CeraVe Hydrating Foaming Oil Cleanser 236ml,CeraVe Hydrating Foaming Oil Cleanser 237ml,2450,1990,23.1,https://e-mart.com.bd/shop/cerave-hydrating-foaming-oil-cleanser-236ml,https://www.emartwayskincare.com.bd/cerave-hydrating-foaming-oil-cleanser
4,Cosrx,97.7,100g,100ml,Cosrx Hyaluronic Acid Intensive Cream 100gm,Cosrx Hyaluronic Acid Intensive Cream 100ml,1700,1690,0.6,https://e-mart.com.bd/shop/cosrx-hyaluronic-acid-intensive-cream-100gm,https://www.emartwayskincare.com.bd/cosrx-hyaluronic-acid-intensive-cream-100ml
5,Cetaphil,97.6,453g,85g,Cetaphil Moisturizing Cream Dry to Very Dry Sensitive Skin 453g,"Cetaphil Moisturizing Cream for Very Dry To Dry, Sensitive Skin 85g",3200,1399,128.7,https://e-mart.com.bd/shop/cetaphil-moisturizing-cream-dry-to-very-dry-sensitive-skin-453g,https://www.emartwayskincare.com.bd/cetaphil-moisturizing-cream-for-very-dry-to-dry-sensitive-skin-85g
6,Haruharu Wonder,97.6,30ml,10ml,HaruHaru WONDER Black Rice Facial Oil 30ml,Haruharu Wonder Black Rice Facial Oil 10ml,1700,739,129.9,https://e-mart.com.bd/shop/haruharu-wonder-black-rice-facial-oil-30ml,https://www.emartwayskincare.com.bd/haruharu-wonder-black-rice-facial-oil-10ml
7,ISNTREE,97.6,15ml,50ml,Isntree Hyaluronic Acid Water Essence 15ml,Isntree Hyaluronic Acid Water Essence 50ml,500,1716,-70.9,https://e-mart.com.bd/shop/isntree-hyaluronic-acid-water-essence-15ml,https://www.emartwayskincare.com.bd/isntree-hyaluronic-acid-water-essence-50ml
8,Laxzin,97.6,150ml,100ml,Laxzin Acne Control Facial Cleanser 150ml,Laxzin Acne Control Facial Cleanser 100ml,395,250,57.5,https://e-mart.com.bd/shop/laxzin-acne-control-facial-cleanser-150ml,https://www.emartwayskincare.com.bd/laxzin-acne-control-facil-cleanser-100ml
9,SKIN1004,97.6,7g,20g,SKIN1004 Madagascar Centella Hyalu-Cica Silky-Fit Sun Stick 7g,SKIN1004 Madagascar Centella Hyalu-Cica Silky-fit Sun Stick 20g,800,1548,-48.3,https://e-mart.com.bd/shop/skin1004-madagascar-centella-hyalu-cica-silky-fit-sun-stick-7g,https://www.emartwayskincare.com.bd/skin1004-madagascar-centella-hyalu-cica-silky-fit-sun-stick-20g
10,Kose,97.4,230ml,240ml,KOSE SOFTYMO Speedy Cleansing Oil 230ml,KOSE SOFTYMO Speedy Cleansing Oil 240ml,1750,1534,14.0,https://e-mart.com.bd/shop/kose-softymo-speedy-cleansing-oil-230ml,https://www.emartwayskincare.com.bd/kose-softymo-speedy-cleansing-oil
